,Title,URL,Date,Location,Image URL
0,Do You Know What Is Mean Python Summer Training Report?,https://delhi.craigslist.org/lss/d/do-you-know-what-is-mean-python-summer/7091272705.html,Mar 11, (Noida),https://images.craigslist.org/00O0O_cixhPIPhPpT_600x450.jpg
1,Hire Dedicated Python Developer,https://delhi.craigslist.org/cps/d/hire-dedicated-python-developer/7088186784.html,Mar  6, (New Delhi),https://images.craigslist.org/00v0v_1qpc00qBrie_600x450.jpg
2,"Top Leading Python Development Company In India, USA, And UK",https://delhi.craigslist.org/cps/d/top-leading-python-development-company/7087569054.html,Mar  5, (florida),https://images.craigslist.org/00S0S_7DpCima3hD3_600x450.jpg
3,Python Tutorial,https://delhi.craigslist.org/cps/d/python-tutorial/7086262207.html,Mar  3, (Noida),https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Flistonline.com.au%2Fwp-content%2Fuploads%2F2018%2F04%2Fno_image_ava.png&f=1&nofb=1
4,Best Python Training Institute in Ghaziabad,https://delhi.craigslist.org/lss/d/best-python-training-institute-in/7086261362.html,Mar  3, (Ghaziabad),https://images.craigslist.org/00m0m_5f8aUHSI0wm_600x450.jpg
5,Searching for Web Development training with Python?,https://delhi.craigslist.org/cps/d/searching-for-web-development-training/7085629036.html,Mar  2, (Noida),https://images.craigslist.org/00y0y_5IlkcxfcDoB_600x450.jpg
6,Latest Course you must know about- Data Analytics with Python,https://delhi.craigslist.org/cps/d/latest-course-you-must-know-about-data/7083861585.html,Feb 28," (Noida, Uttar Pradesh)",https://images.craigslist.org/00k0k_4TRygUQXoFr_600x450.jpg
7,wants to learn Django with Python Training Course?,https://delhi.craigslist.org/cps/d/wants-to-learn-django-with-python/7083855854.html,Feb 28, (Noida),https://images.craigslist.org/00N0N_cgKQc1Rmhjp_600x450.jpg
8,Searching for Python Training Course?,https://delhi.craigslist.org/cps/d/searching-for-python-training-course/7081961098.html,Feb 25, (Noida),https://images.craigslist.org/00N0N_cgKQc1Rmhjp_600x450.jpg
9,Attend Best Python Certification Traning Course in Noida,https://delhi.craigslist.org/cps/d/attend-best-python-certification/7079472609.html,Feb 21, (Noida),https://images.craigslist.org/00a0a_iqmyEpdtcWk_600x450.jpg
10,Learn python course from certified trainers,https://delhi.craigslist.org/lss/d/learn-python-course-from-certified/7076854541.html,Feb 17, (noida),https://images.craigslist.org/00f0f_6LozdlJ32N2_600x450.jpg
